experiment_id,status,mask_type,acceleration,center_fraction,normalization_scale,noise_sigma,add_noise,seed,delta_psnr,delta_nmse,delta_ssim
fastmri-brain-sweep-acl30,completed,random,8,0.04,0.005,0.0005,True,0,-1.8332239786783866,0.024846514066060386,-0.2097830871740977
fastmri-brain-sweep-center-0p02,completed,random,8,0.02,0.005,0.0005,True,0,-1.3311297098795585,0.024180759986241654,-0.19831913709640506
fastmri-brain-sweep-center-0p08,completed,random,8,0.08,0.005,0.0005,True,0,-2.4710222880045585,0.024945090214411415,-0.26380499700705207
fastmri-brain-sweep-equispaced-r8-seed0,completed,equispaced,8,0.04,0.005,0.0005,True,0,-1.7246538798014335,0.026261652509371437,-0.23556973040103912
fastmri-brain-sweep-equispaced-r8-seed1,completed,equispaced,8,0.04,0.005,0.0005,True,1,-1.7074012756347656,0.025800166030724846,-0.22466118633747098
fastmri-brain-sweep-noiseless-cond-0p0001,completed,random,8,0.04,0.005,0.0001,False,0,-1.863922119140625,0.025410393873850502,-0.2523527840773264
fastmri-brain-sweep-noiseless-cond-0p0005,completed,random,8,0.04,0.005,0.0005,False,0,-1.863922119140625,0.025410393873850502,-0.2523527344067891
fastmri-brain-sweep-noiseless-cond-0p001,completed,random,8,0.04,0.005,0.001,False,0,-1.863922119140625,0.025410393873850502,-0.2523527344067891
fastmri-brain-sweep-noiseless-cond-0p002,completed,random,8,0.04,0.005,0.002,False,0,-1.285051981608074,0.01632025341192881,-0.22318313022454578
fastmri-brain-sweep-noisy-sigma-0p0001,completed,random,8,0.04,0.005,0.0001,True,0,-1.863829294840496,0.025412954390048988,-0.2508767892916997
fastmri-brain-sweep-noisy-sigma-0p00025,completed,random,8,0.04,0.005,0.00025,True,0,-1.8630956013997384,0.025422181934118278,-0.24349227547645572
fastmri-brain-sweep-noisy-sigma-0p001,completed,random,8,0.04,0.005,0.001,True,0,-1.846087137858074,0.02553378914793332,-0.16942062477270764
fastmri-brain-sweep-noisy-sigma-0p002,completed,random,8,0.04,0.005,0.002,True,0,-1.238192240397133,0.01671713963150978,-0.07953263819217685
fastmri-brain-sweep-paper-r4-seed0,completed,random,4,0.08,0.005,0.0005,True,0,-2.362712860107422,0.01856553430358569,-0.2054325938224792
fastmri-brain-sweep-paper-r4-seed1,completed,random,4,0.08,0.005,0.0005,True,1,-2.377745310465496,0.021242702379822734,-0.22651698688666022
fastmri-brain-sweep-paper-r4-seed2,completed,random,4,0.08,0.005,0.0005,True,2,-2.5007832845052107,0.025496759762366608,-0.23837420841058096
fastmri-brain-sweep-paper-r8-seed0,completed,random,8,0.04,0.005,0.0005,True,0,-1.860047658284504,0.025449304531017937,-0.22132112582524616
fastmri-brain-sweep-paper-r8-seed1,completed,random,8,0.04,0.005,0.0005,True,1,-1.8065681457519531,0.027439934511979416,-0.2357942859331767
fastmri-brain-sweep-paper-r8-seed2,completed,random,8,0.04,0.005,0.0005,True,2,-1.778961181640625,0.02871954316894213,-0.24775958557923633
fastmri-brain-sweep-scale-0p0002,completed,random,8,0.04,0.0002,0.0005,True,0,0.06448491414388258,-0.0006993276377518995,-0.002730925877888979
fastmri-brain-sweep-scale-0p0005,completed,random,8,0.04,0.0005,0.0005,True,0,0.036106109619140625,-0.0003954370816548619,-0.022952258586883545
fastmri-brain-sweep-scale-0p001,completed,random,8,0.04,0.001,0.0005,True,0,-0.0407358805338518,0.0004499293863773346,-0.06608772277832031
fastmri-brain-sweep-scale-0p0025,completed,random,8,0.04,0.0025,0.0005,True,0,-0.4986572265625,0.005780427406231567,-0.15734137097994488
fastmri-brain-sweep-scale-0p01,completed,random,8,0.04,0.01,0.0005,True,0,-4.972583770751953,0.10325776661435762,-0.2524261176586151
fastmri-brain-sweep-scale-0p02,completed,random,8,0.04,0.02,0.0005,True,0,-9.595517476399738,0.41100700572133064,-0.2410983853042126
